Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 30.30      0.50     0.50 281348928     0.00     0.00  SWESolver::at(std::vector<double, std::allocator<double> > const&, unsigned long, unsigned long) const
 23.94      0.90     0.40 281348928     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long) const
 13.94      1.12     0.23                             _init
 12.73      1.33     0.21  4840416     0.00     0.00  SWESolver::compute_kernel(unsigned long, unsigned long, double, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&) const
  7.88      1.47     0.13      504     0.00     0.00  SWESolver::compute_time_step(std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, double, double) const
  7.27      1.58     0.12 15183672     0.00     0.00  SWESolver::at(std::vector<double, std::allocator<double> >&, unsigned long, unsigned long) const
  2.73      1.63     0.04 15183672     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  1.21      1.65     0.02 14521248     0.00     0.00  double const& std::max<double>(double const&, double const&)
  0.00      1.65     0.00    30000     0.00     0.00  double&& std::forward<double>(std::remove_reference<double>::type&)
  0.00      1.65     0.00    10004     0.00     0.00  operator new(unsigned long, void*)
  0.00      1.65     0.00    10000     0.00     0.00  void __gnu_cxx::new_allocator<double>::construct<double, double>(double*, double&&)
  0.00      1.65     0.00    10000     0.00     0.00  void std::allocator_traits<std::allocator<double> >::construct<double, double>(std::allocator<double>&, double*, double&&)
  0.00      1.65     0.00    10000     0.00     0.00  void std::vector<double, std::allocator<double> >::emplace_back<double>(double&&)
  0.00      1.65     0.00    10000     0.00     0.00  std::vector<double, std::allocator<double> >::push_back(double&&)
  0.00      1.65     0.00    10000     0.00     0.00  std::remove_reference<double&>::type&& std::move<double&>(double&)
  0.00      1.65     0.00     4536     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl_data::_M_copy_data(std::_Vector_base<double, std::allocator<double> >::_Vector_impl_data const&)
  0.00      1.65     0.00     3061     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00      1.65     0.00     1521     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl_data::_Vector_impl_data()
  0.00      1.65     0.00     1512     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<double>, double>::_S_on_swap(std::allocator<double>&, std::allocator<double>&)
  0.00      1.65     0.00     1512     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl_data::_M_swap_data(std::_Vector_base<double, std::allocator<double> >::_Vector_impl_data&)
  0.00      1.65     0.00     1512     0.00     0.00  std::vector<double, std::allocator<double> >::swap(std::vector<double, std::allocator<double> >&)
  0.00      1.65     0.00     1512     0.00     0.00  void std::__alloc_on_swap<std::allocator<double> >(std::allocator<double>&, std::allocator<double>&)
  0.00      1.65     0.00     1512     0.00     0.00  void std::__do_alloc_on_swap<std::allocator<double> >(std::allocator<double>&, std::allocator<double>&, std::integral_constant<bool, false>)
